name,glazing,heating_setpoint,cooling_setpoint,natural_gas,elec_use,ext_shdg_device,int_shdg_device,thermal_curtain,sg,sg_coated,dg,dg_coated,dg_coated_krypton,dg_2coatings,tg_coated,tg_2coatings,tg_2coatings_krypton,tg_2coatings_xenon,ccf,dg_vacuum,dg_smart,dsf
f_a_2126_dg_init_vrf,dg_init_bronze,_Heating_21,_Cooling_26,0.0,372.6752661818182,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
f_b_2126_dg0_vrf,dg_0_clear,_Heating_21,_Cooling_26,0.0,378.4211803636364,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
f_c_2126_sg1_vrf,sg_1_clear,_Heating_21,_Cooling_26,0.0,399.80470909090906,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
f_d_2126_sg2_vrf,sg_2_coated,_Heating_21,_Cooling_26,0.0,370.57004727272727,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
f_e_2126_dg1_vrf,dg_1_highSHG_highLT,_Heating_21,_Cooling_26,0.0,389.1058734545455,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
f_f_2126_dg2_vrf,dg_3_midSHG_highLT,_Heating_21,_Cooling_26,0.0,372.0368312727273,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
f_g_2126_dg3_vrf,dg_2_midSHG_midLT,_Heating_21,_Cooling_26,0.0,375.44518472727276,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
f_h_2126_dg4_vrf,dg_4_lowSHG_lowLT,_Heating_21,_Cooling_26,0.0,361.9774407272727,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
f_i_2126_dg5_vrf,dg_5_lowSHG_midLT,_Heating_21,_Cooling_26,0.0,365.35043781818183,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
f_j_2126_dg6_vrf,dg_6_lowSHG_highLT,_Heating_21,_Cooling_26,0.0,371.79943854545456,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
f_k_2126_tg1_vrf,tg_1_highSHG_highLT,_Heating_21,_Cooling_26,0.0,395.58214909090907,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
f_l_2126_tg2_vrf,tg_2_midSHG_midLT,_Heating_21,_Cooling_26,0.0,379.68794836363645,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
f_m_2126_tg3_vrf,tg_3_midSHG_highLT,_Heating_21,_Cooling_26,0.0,376.76044145454546,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
f_n_2126_tg4_vrf,tg_4_lowSHG_lowLT,_Heating_21,_Cooling_26,0.0,370.07404800000006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
f_o_2126_tg5_vrf,tg_5_lowSHG_midLT,_Heating_21,_Cooling_26,0.0,369.1436705454546,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
f_p_2126_tg6_vrf,tg_6_lowSHG_highLT,_Heating_21,_Cooling_26,0.0,378.3383454545455,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
