name,glazing,heating_setpoint,cooling_setpoint,natural_gas,elec_use,ext_shdg_device,int_shdg_device,thermal_curtain,sg,sg_coated,dg,dg_coated,dg_coated_krypton,dg_2coatings,tg_coated,tg_2coatings,tg_2coatings_krypton,tg_2coatings_xenon,ccf,dg_vacuum,dg_smart,dsf
h_a_2126_dg_init_wtw,dg_init_bronze,_Heating_21,_Cooling_26,306.3527273,410.9096378,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
h_b_2126_dg0_wtw,dg_0_clear,_Heating_21,_Cooling_26,336.4472727,440.457456,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
h_c_2126_dg4_wtw,dg_4_lowSHG_lowLT,_Heating_21,_Cooling_26,188.3418182,385.2399076,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
h_d_2126_dg5_wtw,dg_5_lowSHG_midLT,_Heating_21,_Cooling_26,203.1163636,395.4629476,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
h_e_2126_dg6_wtw,dg_6_lowSHG_highLT,_Heating_21,_Cooling_26,217.3781818,409.7832851,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
h_f_2126_tg4_wtw,tg_4_lowSHG_lowLT,_Heating_21,_Cooling_26,191.7309091,390.8918749,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
h_g_2126_tg5_wtw,tg_5_lowSHG_midLT,_Heating_21,_Cooling_26,193.88,390.6443804,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
h_h_2126_tg6_wtw,tg_6_lowSHG_highLT,_Heating_21,_Cooling_26,211.9018182,410.6480007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
