EndUse,Run name,FuelType,0
Cooling,d_i_2126_dg5_vav,Natural Gas,0.0
Cooling,d_j_2126_dg6_vav,Electricity,502.13
Cooling,d_j_2126_dg6_vav,Natural Gas,0.0
Cooling,d_k_2126_tg1_vav,Electricity,739.0
Cooling,d_k_2126_tg1_vav,Natural Gas,0.0
Cooling,d_l_2126_tg2_vav,Electricity,539.77
Cooling,d_l_2126_tg2_vav,Natural Gas,0.0
Cooling,d_m_2126_tg3_vav,Electricity,520.4
Cooling,d_m_2126_tg3_vav,Natural Gas,0.0
Cooling,d_n_2126_tg4_vav,Electricity,408.57
Cooling,d_n_2126_tg4_vav,Natural Gas,0.0
Cooling,d_o_2126_tg5_vav,Electricity,420.86
Cooling,d_o_2126_tg5_vav,Natural Gas,0.0
Cooling,d_p_2126_tg6_vav,Electricity,528.5
Cooling,d_p_2126_tg6_vav,Natural Gas,0.0
Cooling,e_a_2126_dg_init_vav_int,Electricity,428.19
Cooling,e_a_2126_dg_init_vav_int,Natural Gas,0.0
Cooling,e_b_2126_dg0_vav_int,Electricity,589.8
Cooling,e_b_2126_dg0_vav_int,Natural Gas,0.0
Cooling,e_c_2126_sg1_vav_int,Electricity,586.13
Cooling,e_c_2126_sg1_vav_int,Natural Gas,0.0
Cooling,e_d_2126_sg2_vav_int,Electricity,384.44
Cooling,e_d_2126_sg2_vav_int,Natural Gas,0.0
Cooling,e_e_2126_dg1_vav_int,Electricity,708.09
Cooling,e_e_2126_dg1_vav_int,Natural Gas,0.0
Cooling,e_f_2126_dg2_vav_int,Electricity,507.69
Cooling,e_f_2126_dg2_vav_int,Natural Gas,0.0
Cooling,e_g_2126_dg3_vav_int,Electricity,521.86
Cooling,e_g_2126_dg3_vav_int,Natural Gas,0.0
Cooling,e_h_2126_dg4_vav_int,Electricity,379.99
Cooling,e_h_2126_dg4_vav_int,Natural Gas,0.0
Cooling,e_i_2126_dg5_vav_int,Electricity,431.74
Cooling,e_i_2126_dg5_vav_int,Natural Gas,0.0
Cooling,e_j_2126_dg6_vav_int,Electricity,496.65
Cooling,e_j_2126_dg6_vav_int,Natural Gas,0.0
Cooling,e_k_2126_tg1_vav_int,Electricity,720.07
Cooling,e_k_2126_tg1_vav_int,Natural Gas,0.0
Cooling,e_l_2126_tg2_vav_int,Electricity,533.15
Cooling,e_l_2126_tg2_vav_int,Natural Gas,0.0
Cooling,e_m_2126_tg3_vav_int,Electricity,514.66
Cooling,e_m_2126_tg3_vav_int,Natural Gas,0.0
Cooling,e_n_2126_tg4_vav_int,Electricity,408.28
Cooling,e_n_2126_tg4_vav_int,Natural Gas,0.0
Cooling,e_o_2126_tg5_vav_int,Electricity,420.33
Cooling,e_o_2126_tg5_vav_int,Natural Gas,0.0
Cooling,e_p_2126_tg6_vav_int,Electricity,522.68
Cooling,e_p_2126_tg6_vav_int,Natural Gas,0.0
Cooling,f_a_2126_dg_init_vrf,Electricity,221.3
Cooling,f_a_2126_dg_init_vrf,Natural Gas,0.0
Cooling,f_b_2126_dg0_vrf,Electricity,282.64
Cooling,f_b_2126_dg0_vrf,Natural Gas,0.0
Cooling,f_c_2126_sg1_vrf,Electricity,231.38
Cooling,f_c_2126_sg1_vrf,Natural Gas,0.0
Cooling,f_d_2126_sg2_vrf,Electricity,191.9
Cooling,f_d_2126_sg2_vrf,Natural Gas,0.0
Cooling,f_e_2126_dg1_vrf,Electricity,372.33
Cooling,f_e_2126_dg1_vrf,Natural Gas,0.0
Cooling,f_f_2126_dg2_vrf,Electricity,297.76
Cooling,f_f_2126_dg2_vrf,Natural Gas,0.0
Cooling,f_g_2126_dg3_vrf,Electricity,307.53
Cooling,f_g_2126_dg3_vrf,Natural Gas,0.0
Cooling,f_h_2126_dg4_vrf,Electricity,237.53
Cooling,f_h_2126_dg4_vrf,Natural Gas,0.0
Cooling,f_i_2126_dg5_vrf,Electricity,263.52
Cooling,f_i_2126_dg5_vrf,Natural Gas,0.0
Cooling,f_j_2126_dg6_vrf,Electricity,295.62
Cooling,f_j_2126_dg6_vrf,Natural Gas,0.0
Cooling,f_k_2126_tg1_vrf,Electricity,396.81
Cooling,f_k_2126_tg1_vrf,Natural Gas,0.0
Cooling,f_l_2126_tg2_vrf,Electricity,322.58
Cooling,f_l_2126_tg2_vrf,Natural Gas,0.0
Cooling,f_m_2126_tg3_vrf,Electricity,314.19
Cooling,f_m_2126_tg3_vrf,Natural Gas,0.0
Cooling,f_n_2126_tg4_vrf,Electricity,267.37
Cooling,f_n_2126_tg4_vrf,Natural Gas,0.0
Cooling,f_o_2126_tg5_vrf,Electricity,273.16
Cooling,f_o_2126_tg5_vrf,Natural Gas,0.0
Cooling,f_p_2126_tg6_vrf,Electricity,320.5
Cooling,f_p_2126_tg6_vrf,Natural Gas,0.0
Cooling,g_a_2126_dg_init_vrf_int,Electricity,216.49
Cooling,g_a_2126_dg_init_vrf_int,Natural Gas,0.0
Cooling,g_b_2126_dg0_vrf_int,Electricity,266.81
Cooling,g_b_2126_dg0_vrf_int,Natural Gas,0.0
Cooling,g_c_2126_sg1_vrf_int,Electricity,218.78
Cooling,g_c_2126_sg1_vrf_int,Natural Gas,0.0
Cooling,g_d_2126_sg2_vrf_int,Electricity,189.05
Cooling,g_d_2126_sg2_vrf_int,Natural Gas,0.0
Cooling,g_e_2126_dg1_vrf_int,Electricity,351.65
Cooling,g_e_2126_dg1_vrf_int,Natural Gas,0.0
Cooling,g_f_2126_dg2_vrf_int,Electricity,290.0
Cooling,g_f_2126_dg2_vrf_int,Natural Gas,0.0
Cooling,g_g_2126_dg3_vrf_int,Electricity,299.64
Cooling,g_g_2126_dg3_vrf_int,Natural Gas,0.0
Cooling,g_h_2126_dg4_vrf_int,Electricity,235.84
Cooling,g_h_2126_dg4_vrf_int,Natural Gas,0.0
Cooling,g_i_2126_dg5_vrf_int,Electricity,260.29
Cooling,g_i_2126_dg5_vrf_int,Natural Gas,0.0
Cooling,g_j_2126_dg6_vrf_int,Electricity,289.24
Cooling,g_j_2126_dg6_vrf_int,Natural Gas,0.0
Cooling,g_k_2126_tg1_vrf_int,Electricity,378.69
Cooling,g_k_2126_tg1_vrf_int,Natural Gas,0.0
Cooling,g_l_2126_tg2_vrf_int,Electricity,315.35
Cooling,g_l_2126_tg2_vrf_int,Natural Gas,0.0
Cooling,g_m_2126_tg3_vrf_int,Electricity,307.77
Cooling,g_m_2126_tg3_vrf_int,Natural Gas,0.0
Cooling,g_n_2126_tg4_vrf_int,Electricity,266.07
Cooling,g_n_2126_tg4_vrf_int,Natural Gas,0.0
Cooling,g_o_2126_tg5_vrf_int,Electricity,271.15
Cooling,g_o_2126_tg5_vrf_int,Natural Gas,0.0
Cooling,g_p_2126_tg6_vrf_int,Electricity,314.73
Cooling,g_p_2126_tg6_vrf_int,Natural Gas,0.0
Cooling,h_a_2126_dg_init_wtw,Electricity,394.11
Cooling,h_a_2126_dg_init_wtw,Natural Gas,0.0
Cooling,h_b_2126_dg0_wtw,Electricity,501.66
Cooling,h_b_2126_dg0_wtw,Natural Gas,0.0
Cooling,h_c_2126_dg4_wtw,Electricity,361.22
Cooling,h_c_2126_dg4_wtw,Natural Gas,0.0
Cooling,h_d_2126_dg5_wtw,Electricity,399.75
Cooling,h_d_2126_dg5_wtw,Natural Gas,0.0
Cooling,h_e_2126_dg6_wtw,Electricity,449.0
Cooling,h_e_2126_dg6_wtw,Natural Gas,0.0
Cooling,h_f_2126_tg4_wtw,Electricity,385.5
Cooling,h_f_2126_tg4_wtw,Natural Gas,0.0
Cooling,h_g_2126_tg5_wtw,Electricity,392.09
Cooling,h_g_2126_tg5_wtw,Natural Gas,0.0
Cooling,h_h_2126_tg6_wtw,Electricity,466.15
Cooling,h_h_2126_tg6_wtw,Natural Gas,0.0
Cooling,i_a_2126_dg_init_vav_int,Electricity,428.19
Cooling,i_a_2126_dg_init_vav_int,Natural Gas,0.0
Cooling,i_b_2126_dg5k,Electricity,466.93
Cooling,i_b_2126_dg5k,Natural Gas,0.0
Cooling,i_c_2126_tg5k,Electricity,433.24
Cooling,i_c_2126_tg5k,Natural Gas,0.0
Cooling,i_d_2126_tg5x,Electricity,440.35
Cooling,i_d_2126_tg5x,Natural Gas,0.0
Cooling,i_e_2126_ccf,Electricity,396.23
Cooling,i_e_2126_ccf,Natural Gas,0.0
Cooling,i_f_2126_dg_vacuum,Electricity,481.23
Cooling,i_f_2126_dg_vacuum,Natural Gas,0.0
Cooling,i_g_2126_dg_smart,Electricity,351.43
Cooling,i_g_2126_dg_smart,Natural Gas,0.0
Cooling,i_h_2126_dsf_min,Electricity,313.3971583333334
Cooling,i_h_2126_dsf_min,Natural Gas,0.0
Cooling,i_i_2126_dsf_mean,Electricity,349.36076666666673
Cooling,i_i_2126_dsf_mean,Natural Gas,0.0
Cooling,i_j_2126_dsf_max,Electricity,380.1867166666667
Cooling,i_j_2126_dsf_max,Natural Gas,0.0
Cooling,j_a_2124_dg_init,Electricity,584.27
Cooling,j_a_2124_dg_init,Natural Gas,0.0
Cooling,j_b_2124_dg0,Electricity,804.17
Cooling,j_b_2124_dg0,Natural Gas,0.0
Cooling,j_c_2124_dg4,Electricity,477.59
Cooling,j_c_2124_dg4,Natural Gas,0.0
Cooling,j_d_2124_dg5,Electricity,548.42
Cooling,j_d_2124_dg5,Natural Gas,0.0
Cooling,j_e_2124_dg6,Electricity,646.42
Cooling,j_e_2124_dg6,Natural Gas,0.0
Cooling,j_f_2124_tg4,Electricity,513.25
Cooling,j_f_2124_tg4,Natural Gas,0.0
Cooling,j_g_2124_tg5,Electricity,527.97
Cooling,j_g_2124_tg5,Natural Gas,0.0
Cooling,j_h_2124_tg6,Electricity,667.1
Cooling,j_h_2124_tg6,Natural Gas,0.0
Cooling,k_a_1927_dg_init_ext,Electricity,258.53
Cooling,k_a_1927_dg_init_ext,Natural Gas,0.0
Cooling,k_b_1927_dg0_ext,Electricity,274.25
Cooling,k_b_1927_dg0_ext,Natural Gas,0.0
Cooling,k_c_1927_dg4_ext,Electricity,284.46
Cooling,k_c_1927_dg4_ext,Natural Gas,0.0
Cooling,k_d_1927_dg5_ext,Electricity,291.08
Cooling,k_d_1927_dg5_ext,Natural Gas,0.0
Cooling,k_e_1927_dg6_ext,Electricity,304.0
Cooling,k_e_1927_dg6_ext,Natural Gas,0.0
Cooling,k_f_1927_tg4_ext,Electricity,315.89
Cooling,k_f_1927_tg4_ext,Natural Gas,0.0
Cooling,k_g_1927_tg5_ext,Electricity,309.49
Cooling,k_g_1927_tg5_ext,Natural Gas,0.0
Cooling,k_h_1927_tg6_ext,Electricity,329.76
Cooling,k_h_1927_tg6_ext,Natural Gas,0.0
