,"market for curtain wall, triple glazing, coated, high perf alu frame","market for curtain wall, smart glazing, high perf alu frame","market for curtain wall, vacuum double glazing, coated, high perf alu frame","market for curtain wall, triple glazing, two coatings, xenon, high perf alu frame","market for curtain wall, double glazing, coated, high perf alu frame","market for curtain wall, single glazing, coated, low perf alu frame","market for curtain wall, double glazing, coated, krypton, high perf alu frame","market for curtain wall, triple glazing, two coatings, krypton, high perf alu frame","market for curtain wall, double glazing, two coatings, high perf alu frame","market for curtain wall, single glazing, low perf alu frame","market for curtain wall, double glazing, low perf alu frame","market for curtain wall, double skin facade","market for curtain wall, ccf","market for curtain wall, triple glazing, two coatings, high perf alu frame"
0,209.71667958826134,321.5912067225736,184.05698562888008,260.0773331464251,182.6578941295964,150.77045354966145,187.3673800957289,218.83692671453204,183.4016596090229,150.0236215727786,177.80970493737087,324.6703432119691,470.15381017489057,209.41795375077604
1,209.22768399575327,363.0627633561042,182.88836722006923,243.55019868532048,181.1606951024734,147.95957955741855,185.31127219238306,217.17131937309603,182.01763300452419,147.09910994554266,176.17837834316754,320.5029591293848,478.0319693923794,208.87016709187245
2,201.60161663440508,261.0890321960229,175.7949588209456,231.09625586190862,174.00386929221742,141.84492941850158,180.3920582595,214.12339907704376,174.77053246757467,141.07510571668308,169.2904015291866,308.68025372931766,469.0264404419167,201.34702771799252
3,197.87153672068698,354.1092993656981,173.5942909064607,229.65200484447644,171.3324411526875,139.97942261941355,175.96825649771384,207.24590855466366,172.21451171999098,139.09371406896122,166.75090388224464,304.32760146059377,444.17029027452804,197.97427373965726
4,203.59374136206512,273.17041276512464,177.46365917317564,265.9331667945984,175.873970659934,143.3090962741538,179.83457704770436,211.1285633582437,176.74893844243914,142.43052618138125,170.87311330313884,311.7528008827807,475.3433418280264,203.20735296559442
5,217.1502207074631,316.2351817288117,190.81392515687693,275.11567824996825,189.24227217907375,154.60219340734298,195.17723054349577,228.70281432960846,190.530590678194,153.30856662656294,181.89478830912535,337.58816961848964,480.3010095643335,216.83289877289343
6,201.0663276940051,310.8907488670458,175.03967975932247,243.94380852452852,173.5177705265034,141.21374900490846,178.34338697903905,210.50036636510592,174.36125576595094,140.36678519017914,168.63690183467122,307.2023049493716,468.3068396523354,200.84913363211405
7,209.22247136349128,331.56015067578204,182.85463073423935,258.3316749386972,180.99206901828805,147.52901912982873,186.64764947592894,220.31305691723455,181.94220935189068,146.57495811255788,175.68472379230232,319.72636787986863,477.86189031981934,209.00189951142627
8,229.0370790209345,445.8137702426464,202.23370487085216,266.2502268587355,200.42906986109836,166.70388515685173,205.44339691938075,239.33105989262083,201.81926749387293,165.307956275811,194.74621255157362,358.38996419281636,518.1326815674721,229.30240651116227
9,200.44023853763179,259.66969347589435,174.6805532279331,230.72457001094688,172.86805712663187,140.1502682860894,177.32324865674005,209.1693410160716,173.66613031263302,139.34890277573083,167.8680916430262,305.9806381621614,457.5235110071987,200.25895374450175
10,203.3779793457213,297.5226750894447,178.92035929419282,235.8763857302729,176.9140686089612,145.90858126222136,182.8825091110229,215.18036357417992,177.73398460091892,145.085285108948,172.1065459733349,316.84388468853086,460.4587218440991,203.2434824482155
11,209.09225315426454,418.84646523072547,182.4612366625411,261.50975006695495,180.25734559520873,146.21763462525723,185.00028640219927,218.6272204249526,181.16853495714372,145.30269149225185,175.39611182924529,320.5601095488444,478.91115685798,209.141341377431
12,207.81623468371458,347.28875240527293,181.67856286297462,241.05403652146023,179.8887943904885,146.76812273786547,184.68339128686333,217.1816471839548,180.87464590871247,145.7782044313438,174.97786412954335,317.1422893117264,475.3885513599323,207.5924489636679
13,206.57470537258965,338.365793278445,180.48651824147296,253.02084254330282,178.712777044171,145.1617439371912,183.89982150861826,216.3497762653822,179.89709832446093,143.97254082415614,173.39652022077766,315.17371467792594,452.324363006855,205.9756869271711
14,190.8856186919737,315.39939372565306,166.22765928421532,240.88003036696043,164.8730472140361,133.6859882593005,171.99257268714314,204.94714167742563,165.75261412367962,132.80279453969558,159.4916972849473,291.60465643773534,443.2879921257177,190.70809245939796
15,195.4845620619912,431.091876385911,170.77283881213876,234.41081908348514,169.4086747483816,137.74547189005395,174.98084928245646,206.01997282302747,170.25602186122094,136.89463166190043,163.97068550479187,298.66758271112593,437.0557198541864,194.87562105762908
16,192.65463084672822,412.885474023492,168.2419351311933,243.47964886294736,166.19793432715628,135.23824209698057,170.59960945468504,201.5677652097804,167.2351225730429,134.19677882340625,161.84542048216693,294.1214274659712,440.51472809672873,192.76441450325888
