Category,Subcategory,Unit,Step,Name,0
climate change,climate change total,kg CO2-Eq,step_9_CH,i_e_2126_ccf_BE,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_e_2126_ccf_CH,74.82352976316488
climate change,climate change total,kg CO2-Eq,step_9_CH,i_e_2126_ccf_DE,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_e_2126_ccf_DK,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_e_2126_ccf_FR,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_e_2126_ccf_PL,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_f_2126_dg_vacuum_BE,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_f_2126_dg_vacuum_CH,-94.24747021358417
climate change,climate change total,kg CO2-Eq,step_9_CH,i_f_2126_dg_vacuum_DE,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_f_2126_dg_vacuum_DK,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_f_2126_dg_vacuum_FR,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_f_2126_dg_vacuum_PL,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_g_2126_dg_smart_BE,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_g_2126_dg_smart_CH,-87.52686951810263
climate change,climate change total,kg CO2-Eq,step_9_CH,i_g_2126_dg_smart_DE,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_g_2126_dg_smart_DK,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_g_2126_dg_smart_FR,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_g_2126_dg_smart_PL,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_h_2126_dsf_min_BE,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_h_2126_dsf_min_CH,-148.290082511842
climate change,climate change total,kg CO2-Eq,step_9_CH,i_h_2126_dsf_min_DE,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_h_2126_dsf_min_DK,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_h_2126_dsf_min_FR,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_h_2126_dsf_min_PL,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_i_2126_dsf_mean_BE,
