Category,Subcategory,Unit,Step,Name,0
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_b_2126_dg0_BE,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_b_2126_dg0_CH,220.04239784627322
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_b_2126_dg0_DE,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_b_2126_dg0_DK,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_b_2126_dg0_FR,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_b_2126_dg0_PL,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_h_2126_dg4_BE,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_h_2126_dg4_CH,15.407890353287359
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_h_2126_dg4_DE,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_h_2126_dg4_DK,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_h_2126_dg4_FR,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_h_2126_dg4_PL,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_i_2126_dg5_BE,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_i_2126_dg5_CH,49.320955126301456
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_i_2126_dg5_DE,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_i_2126_dg5_DK,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_i_2126_dg5_FR,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_i_2126_dg5_PL,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_j_2126_dg6_BE,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_j_2126_dg6_CH,94.70641745302676
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_j_2126_dg6_DE,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_j_2126_dg6_DK,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_j_2126_dg6_FR,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_j_2126_dg6_PL,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_n_2126_tg4_BE,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_n_2126_tg4_CH,61.873936653317564
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_n_2126_tg4_DE,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_n_2126_tg4_DK,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_n_2126_tg4_FR,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_n_2126_tg4_PL,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_o_2126_tg5_BE,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_o_2126_tg5_CH,65.68748239826147
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_o_2126_tg5_DE,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_o_2126_tg5_DK,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_o_2126_tg5_FR,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_o_2126_tg5_PL,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_p_2126_tg6_BE,
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_p_2126_tg6_CH,131.2530052850719
climate change,climate change total,kg CO2-Eq,step_1_1CH,a_p_2126_tg6_DE,
