Category,Subcategory,Unit,Step,Name,0
climate change,climate change total,kg CO2-Eq,step_4_BE,d_b_2126_dg0_vav_BE,475.061277223884
climate change,climate change total,kg CO2-Eq,step_4_BE,d_b_2126_dg0_vav_CH,
climate change,climate change total,kg CO2-Eq,step_4_BE,d_b_2126_dg0_vav_DE,
climate change,climate change total,kg CO2-Eq,step_4_BE,d_b_2126_dg0_vav_DK,
climate change,climate change total,kg CO2-Eq,step_4_BE,d_b_2126_dg0_vav_FR,
climate change,climate change total,kg CO2-Eq,step_4_BE,d_b_2126_dg0_vav_PL,
climate change,climate change total,kg CO2-Eq,step_4_BE,d_h_2126_dg4_vav_BE,-679.71683698064
climate change,climate change total,kg CO2-Eq,step_4_BE,d_h_2126_dg4_vav_CH,
climate change,climate change total,kg CO2-Eq,step_4_BE,d_h_2126_dg4_vav_DE,
climate change,climate change total,kg CO2-Eq,step_4_BE,d_h_2126_dg4_vav_DK,
climate change,climate change total,kg CO2-Eq,step_4_BE,d_h_2126_dg4_vav_FR,
climate change,climate change total,kg CO2-Eq,step_4_BE,d_h_2126_dg4_vav_PL,
climate change,climate change total,kg CO2-Eq,step_4_BE,d_i_2126_dg5_vav_BE,-484.7871418947053
climate change,climate change total,kg CO2-Eq,step_4_BE,d_i_2126_dg5_vav_CH,
climate change,climate change total,kg CO2-Eq,step_4_BE,d_i_2126_dg5_vav_DE,
climate change,climate change total,kg CO2-Eq,step_4_BE,d_i_2126_dg5_vav_DK,
climate change,climate change total,kg CO2-Eq,step_4_BE,d_i_2126_dg5_vav_FR,
climate change,climate change total,kg CO2-Eq,step_4_BE,d_i_2126_dg5_vav_PL,
climate change,climate change total,kg CO2-Eq,step_4_BE,d_j_2126_dg6_vav_BE,-240.0926647992997
climate change,climate change total,kg CO2-Eq,step_4_BE,d_j_2126_dg6_vav_CH,
climate change,climate change total,kg CO2-Eq,step_4_BE,d_j_2126_dg6_vav_DE,
climate change,climate change total,kg CO2-Eq,step_4_BE,d_j_2126_dg6_vav_DK,
climate change,climate change total,kg CO2-Eq,step_4_BE,d_j_2126_dg6_vav_FR,
climate change,climate change total,kg CO2-Eq,step_4_BE,d_j_2126_dg6_vav_PL,
climate change,climate change total,kg CO2-Eq,step_4_BE,d_n_2126_tg4_vav_BE,-621.9596322805246
climate change,climate change total,kg CO2-Eq,step_4_BE,d_n_2126_tg4_vav_CH,
