Category,Subcategory,Unit,Step,Name,0
climate change,climate change total,kg CO2-Eq,step_6_BE,f_b_2126_dg0_vrf_BE,216.01802333090055
climate change,climate change total,kg CO2-Eq,step_6_BE,f_b_2126_dg0_vrf_CH,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_b_2126_dg0_vrf_DE,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_b_2126_dg0_vrf_DK,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_b_2126_dg0_vrf_FR,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_b_2126_dg0_vrf_PL,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_h_2126_dg4_vrf_BE,63.984064327363974
climate change,climate change total,kg CO2-Eq,step_6_BE,f_h_2126_dg4_vrf_CH,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_h_2126_dg4_vrf_DE,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_h_2126_dg4_vrf_DK,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_h_2126_dg4_vrf_FR,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_h_2126_dg4_vrf_PL,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_i_2126_dg5_vrf_BE,96.37027472889936
climate change,climate change total,kg CO2-Eq,step_6_BE,f_i_2126_dg5_vrf_CH,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_i_2126_dg5_vrf_DE,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_i_2126_dg5_vrf_DK,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_i_2126_dg5_vrf_FR,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_i_2126_dg5_vrf_PL,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_j_2126_dg6_vrf_BE,159.06552660690244
climate change,climate change total,kg CO2-Eq,step_6_BE,f_j_2126_dg6_vrf_CH,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_j_2126_dg6_vrf_DE,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_j_2126_dg6_vrf_DK,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_j_2126_dg6_vrf_FR,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_j_2126_dg6_vrf_PL,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_n_2126_tg4_vrf_BE,168.02323722230332
climate change,climate change total,kg CO2-Eq,step_6_BE,f_n_2126_tg4_vrf_CH,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_n_2126_tg4_vrf_DE,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_n_2126_tg4_vrf_DK,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_n_2126_tg4_vrf_FR,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_n_2126_tg4_vrf_PL,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_o_2126_tg5_vrf_BE,159.09011474867444
climate change,climate change total,kg CO2-Eq,step_6_BE,f_o_2126_tg5_vrf_CH,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_o_2126_tg5_vrf_DE,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_o_2126_tg5_vrf_DK,
climate change,climate change total,kg CO2-Eq,step_6_BE,f_o_2126_tg5_vrf_FR,
